program,title,link,upvotes,bounty,vuln_type,date
Internet Bug Bounty,Adobe Flash Player MP4 Use-After-Free Vulnerability,hackerone.com/reports/30567,3,2000.0,Memory Corruption - Generic,2015-03-11
Bookfresh,Missing Function Level Access Control in /cindex.php/widget/customize/,hackerone.com/reports/30575,3,0.0,Violation of Secure Design Principles,2016-03-23
Localize,PHP reveals potentially sensitive information via certain HTTP requests that contain specific QUERY strings.,hackerone.com/reports/30787,2,0.0,,2015-02-17
RelateIQ,Relateiq SSLv3 deprecated protocol vulnerability.,hackerone.com/reports/30852,3,0.0,Cryptographic Issues - Generic,2014-12-24
X / xAI,Improper Verification of email address while saving Account Settings,hackerone.com/reports/30975,6,560.0,Violation of Secure Design Principles,2015-08-13
Khan Academy,Sql injection And XSS,hackerone.com/reports/31023,4,0.0,Cross-site Scripting (XSS) - Generic,2015-12-08
X / xAI,Unauthorized Tweeting on behalf of Account Owners,hackerone.com/reports/31082,2,420.0,Violation of Secure Design Principles,2015-05-07
joola.io,Weak Random Number Generator for Auth Tokens,hackerone.com/reports/31166,3,0.0,Cryptographic Issues - Generic,2014-10-25
joola.io,Timing Attack Side-Channel on API Token Verification,hackerone.com/reports/31167,4,0.0,Cryptographic Issues - Generic,2014-10-25
WP API,Cryptographic Side Channel in OAuth Library,hackerone.com/reports/31168,4,0.0,Cryptographic Issues - Generic,2014-10-29
Concrete CMS,Weak random number generator used in concrete/authentication/concrete/controller.php,hackerone.com/reports/31171,2,0.0,Cryptographic Issues - Generic,2014-10-26
Bookfresh,Reflected XSS on www.bookfresh.com/index.html?view=upload_form,hackerone.com/reports/31187,5,0.0,Cross-site Scripting (XSS) - Generic,2017-08-31
X / xAI,Creating Unauthorized Audience Lists,hackerone.com/reports/31188,2,0.0,Violation of Secure Design Principles,2014-11-28
Localize,files likes of README.md is public,hackerone.com/reports/31255,2,0.0,Information Disclosure,2015-02-17
HackerOne,Ability to see common response titles of other teams (limited),hackerone.com/reports/31383,8,0.0,Information Disclosure,2014-10-15
Internet Bug Bounty,Adobe Flash Player Out-of-Bound Read/Write Vulnerability,hackerone.com/reports/31408,2,5000.0,Memory Corruption - Generic,2015-03-11
RelateIQ,PoodleBleed,hackerone.com/reports/31415,4,0.0,Cryptographic Issues - Generic,2015-08-13
X / xAI,Singup Page HTML Injection Vulnerability,hackerone.com/reports/31554,5,0.0,Command Injection - Generic,2015-03-22
Internet Bug Bounty,Drupal 7 pre auth sql injection and remote code execution,hackerone.com/reports/31756,21,0.0,SQL Injection,2015-04-06
HackerOne,Content Spoofing via reports,hackerone.com/reports/32137,4,0.0,Violation of Secure Design Principles,2016-05-25
X / xAI,XSS in fabric.io,hackerone.com/reports/32519,3,0.0,Cross-site Scripting (XSS) - Generic,2014-12-23
X / xAI,URGENT - Subdomain Takeover on media.vine.co due to unclaimed domain pointing to AWS,hackerone.com/reports/32825,50,0.0,Cross-site Scripting (XSS) - Generic,2014-11-03
WP API,MD5 used for Key-Auth signatures,hackerone.com/reports/32944,4,0.0,Cryptographic Issues - Generic,2014-10-29
HackerOne,Enumeration/Guess of Private (Invited) Programs,hackerone.com/reports/32990,6,0.0,Violation of Secure Design Principles,2015-05-09
Slack,a stored xss in  slack integration  https://onerror.slack.com/services/import,hackerone.com/reports/33018,6,500.0,Cross-site Scripting (XSS) - Generic,2016-05-22
X / xAI,DOM Cross-Site Scripting ( XSS ),hackerone.com/reports/33091,3,1400.0,Cross-site Scripting (XSS) - Generic,2014-12-03
Uzbey,Test,hackerone.com/reports/33153,2,0.0,Information Disclosure,2014-10-31
Uzbey,Test,hackerone.com/reports/33154,1,0.0,,2014-10-31
X / xAI,Flaw in valid password policy.,hackerone.com/reports/33331,3,0.0,Improper Authentication - Generic,2014-11-30
Uzbey,test,hackerone.com/reports/33358,5,0.0,,2014-10-31
X / xAI,BROKEN AUTHENTICATION IN MOBILE VERIFICATION  ,hackerone.com/reports/33432,2,0.0,Violation of Secure Design Principles,2014-12-14
